“Madre Natura”;Piazza Nomentum
Monumento in piazza Nostra Signora di Guadalupe;Piazza Nostra Signora di Guadalupe
2 Fontane con delfini in piazza Perin del Vaga;Piazza Perin del Vaga
Fontana in piazza Pietro d’Illiria;Piazza Pietro d’Illiria
Fontanella;Piazza Pilotta
Monumento a San Francesco d’Assisi;Piazza Porta S.Giovanni
S. Francesco d’Assisi;Piazza Porta S.Giovanni
Monumento Caduti p.zza Regina Pacis;Piazza Regina Pacis
Fontana dell’Acquedotto Alessandrino;Piazza Romana dell’Acquedotto Alessandrino
Cisterna di piazza Ronchi ;Piazza Ronchi
Fontana in piazza S. Andrea della Valle;Piazza S. Andrea della Valle
Edificio in piazza S. Chiara ( da accertare presso Conservatoria);Piazza S. Chiara
Fontana p.zza S. Cosimato;Piazza S. Cosimato
Fontanella in piazza S. Croce in Gerusalemme;Piazza S. Croce in Gerusalemme
Portale di accesso all’Orto monastico sull’Anfiteatro Castrense;Piazza S. Croce in Gerusalemme.
Fontana con sarcofago;Piazza S. Giovanni Bosco
Fontana p.zza S. M. Trastevere;Piazza S. M. Trastevere
Fontana della Pigna;Piazza S. Marco
Fontana della Pigna;Piazza S. Maria del Soccorso
Monumento in piazza S. Maria Liberatrice;Piazza S. Maria Liberatrice
Fontana in piazza S. Maria Maggiore ( da verificare se Monti o Esquilino);Piazza S. Maria Maggiore
Colonna Crocifera di Enrico IV;Piazza S. Maria Maggiore, a lato della basilica
Monumento a Marco Minghetti;Piazza S. Pantaleo
Fontanella del Leone;Piazza S. Salvatore in Lauro
Fontana p.zza S. Simeone;Piazza S. Simeone
Monumento ai Caduti a S. Vittorino;Piazza S. Vittorino
Monumento a Guido Baccelli;Piazza Salerno
Mostra dell’Acqua Felice o fontana del Mosé e locali annessi;Piazza San Bernardo
Fontana dell’obelisco;Piazza San Giovanni in Laterano
Fontana della Botticella;Piazza San Rocco
Monumento ai Caduti;Piazza Sant’Agostino
Complesso di S. Alessio all’Aventino;Piazza Sant’Alessio, 23
Ex Santa Maria della Pietà;Piazza Santa Maria della Pietà
Ex convento Sant’Egidio;Piazza Sant'Egidio
Fontanile di Prima Porta;Piazza Saxa Rubra
Monumento ai Caduti in piazza Saxa Rubra;Piazza Saxa Rubra
Fontana p.zza Scipione Africano;Piazza Scipione Africano
Fontana nel giardino Sempione;Piazza Sempione
Statua della Madonna;Piazza Sempione
Ponte Tazio;"Piazza Sempione
"
Monumento ai Caduti delle due guerre mondiali Borgata Finocchio, Pantano e Borghese;Piazza Serrule
Monumento Nicola Spedalieri;Piazza Sforza Cesarini
Monumento Caduti p.zza Sicani Acilia;Piazza Sicani Acilia
Monumento contemporaneo ai Caduti di tutte le guerre, Torre Gaia/ Villaggio Breda, Villaggio Breda;Piazza Siderea
Palazzo Anguillara;Piazza Sidney Sonnino, 5
Fontana a vasca con cascata;Piazza Teofrasto
Deposito Acqua Paola;Piazza Trilussa
Fontana Acqua Paola;Piazza Trilussa
Monumento Trilussa;Piazza Trilussa
Sepolcro di Bibulo;Piazza Venezia (aiuola altare della Patria)
Mercato Esquilino;Piazza Vittorio
Gruppo scultoreo di Mario Rutelli;Piazza Vittorio
Fontane contemporanee nel giardino di piazza Vittorio;Piazza Vittorio
Monumento ai caduti dei rioni Esquilino Viminale Macao della guerra 1915-1918;Piazza Vittorio
Porta Magica;Piazza Vittorio
Trofei di Mario;Piazza Vittorio Emanuele II Municipio I Rione XV
Fontana dell’Acqua Acetosa;Piazzale Acqua Acetosa
Monumento a Benito Juarez;Piazzale Benito Juarez
Monumento “Composizione astratta”;Piazzale Cina
Mausoleo, resti di sepolcri e basolato stradale;Piazzale Clodio (sotto il cavalcavia)
Fontana dello Zodiaco;Piazzale Cristoforo Colombo
Mostra dell’Acquedotto del Peschiera;Piazzale degli Eroi
Edificio dell’Autoparco;Piazzale dei Partigiani, 40
Fontana nell’area dell’Autoparco;Piazzale dei Partigiani, 40
Enea e Anchise;Piazzale del Museo Borghese, 5 (Galleria Borghese)
Fontanella sarcofago;Piazzale del Verano
Monumento a Pio XII;Piazzale del Verano
Colonna di S. Lorenzo;Piazzale del Verano
Monumento a Giuseppe Mazzini;Piazzale dell'Aventino
Fontana contemporanea;Piazzale delle Province
Busto a Tazio Nuvolari;Piazzale dello Sport
Ponte Milvio;Piazzale di Ponte Milvio
Due colonne 11 Settembre 2001;Piazzale di Porta Capena
Colombario di Porta Maggiore;Piazzale di Porta Maggiore
Monumento al Bersagliere;Piazzale di Porta Pia
Porta S. Pancrazio;Piazzale di Porta San Pancrazio
Fontana con sarcofago a ridosso delle mura;Piazzale Flaminio
Fontana abbeveratoio p.le Flaminio;Piazzale Flaminio
Edicola di S. Andrea presso le Mura Gianicolensi;Piazzale Garibaldi
P.P.Pasolini p.le Gasparri;Piazzale Gasparri
Monumento alle Vittime del Lavoro;Piazzale Giulio Pastore
Sepolcro di Marco Virgilio Eurysace;Piazzale Labicano
Monumento ai Caduti di tutte le guerre;Piazzale Metronio
Fontana delle Rane in piazzale Mincio;Piazzale Mincio
Fontana  contemporanea “Novecento”;Piazzale Pier Luigi Nervi
Porta Pia;Piazzale Porta Pia, 1
Monumento a Simon Bolivar ;Piazzale Simone Bolivar
Arco di Sisto V;Piazzale Sisto V
Monumento a Giuseppe Mazzini;Piazzale Ugo La Malfa
Ponte Bianco;Ponte Bianco
Monumento alle Donne Partigiane presso il Ponte dell’Industria;Ponte dell’Industria
Fontane (12) di Ponte Flaminio;Ponte Flaminio
Ponte Vittorio Emanuele II;Ponte Vittorio Emanuele II
Fontanile di Pio IV a porta Cavalleggeri;Porta Cavalleggeri
Fontane dell’Acqua Lancisiana (2);Porto Leonino 
Tombe e basolato della via Latina;Via di Vigna Fabbri
Monumento ad un caduto sul lavoro ( cantoniere) dell’ANAS;Raccordo Anulare Km.11
Rampa San Sebastianello;Rampa di San Sebastianello
Cavea teatrale con sculture e tripode;Roma
Convento dei SS. Vincenzo;S. Vincenzo
Anfiteatro Castrense;Tra Santa Croce in Gerusalemme e le Mura Aureliane
Edificio scolastico di fronte a S. Alessio;V.le Carlo Tommaso Odescalchi, 38
Teatro Nazionale;Via A. De Pretis
Monumento ai Deportati dei rastrellamenti del Quadraro nel 1944;Via A. Pediano ( Parco di Monte del Grano)
Edificio contiguo alla chiesa di S. Maria della Consolazione;Via Aldo Della Rocca, 6
Chiesa di S. Maria della Consolazione (incerta);Via Aldo Della Rocca, 6
Edificio in via Aldovrandi 16;Via Aldovrandi, 16
Mercato di via Alessandria;Via Alessandria
Palazzetto di Flaminio Ponzio;Via Alessandrina
Deposito presso il Palazzetto di Flaminio Ponzio;Via Alessandrina
Cisterna presso la Torre di Mezzavia;Via Anagnina (altezza IKEA)
Fontana di Pio IX;Via Annia
Colonna delle Aquile;Via Antonio Gransci
Cisterna e resti antichi;Via Appia (all'interno dell'ippodromo delle Capannelle)
Resti antichi  sotto Tor Marancia;Via Appia Antica
Complesso massenziano;Via Appia Antica
Casale dell’Acquataccio;Via Appia Antica
Cartiera Latina;Via Appia Antica
Edicola del Cardinal Pole;Via Appia Antica
Fontanella di fronte alla basilica di S. Sebastiano;Via Appia Antica
Colonna di Pio IX sull’Appia Antica;Via Appia Antica
Monumento funerario ad Aristide Sartorio, ex cimitero di S. Sebastiano;Via Appia Antica
Fontana sarcofago presso Porta S. Sebastiano;Via Appia Antica
Sepolcro di Priscilla;Via Appia Antica, 64
Fontana sarcofago Statuario;Via Appia Nuova, 1071/73
Cisterna ;Via Appia Pignatelli
S. Urbano alla Caffarella;Via Appia Pignatelli
Casale di Priscilla con torre;Via Appia Pignatelli
Arco dela Ciambella (Terme di Agrippa);Via Arco della Ciambella
Ex edificio scolastico Dante Alighieri;Via Ariosto
Monumento ad Arnaldo Ulivelli;Via Arnaldo Ulivelli
Monumento al Beato Tommaso Maria Fusco;Via Arrigo Davila
Fontanella in via Augusto Valenziani;Via Augusto Valenziani
Acquedotto Traiano;Via Aurelia
Arco di Tiradiavoli;Via Aurelia
Fontana abbeveratoio;Via Aurelia Antica
Tratti fuori terra dell’acquedotto Paolo;Via Aurelia Antica
Porticus Aemilia;Via B. Franklin
Edificio in via Baccelli N.° 10;Via Baccelli, 10
Sepolcro via Bisignano;Via Bisignano
Sepolcro a tempietto;Via Bisignano
Fontanile con lo stemma di S. Spirito;Via Boccea
Fontana  a cascata ( Parco Peppino Impastato );Via Bolognetta
Teatro di Tor Bella Monaca;Via Bruno Cirino
Torre Brunori;Via Caduti per la Resistenza
Fontanella con testa di lupa;Via Campania
Busto di Alessandro Magno;Via Campania
Piloni (4) ponte Duca D’Aosta;Via Capoprati
Sepolcro a camera;Via Cardinal Caprara, 62
Casale in via Casetta Mattei;Via Casetta Mattei
Sepolcro (resti);Via Casilina angolo via Filarete
Monumento ai Caduti di tutte le guerre alla Tomba di Nerone;Via Cassia
Fontana di Pietro Lombardi;Via Cassia ( già in Borgo)
Chiesa di S. Nicola a Cesano;Via Cassia Km 27
Tomba di Nerone (sepolcro di Vibio Mariano);Via Cassia Municipio XX
Scuola Cassiodoro;Via Cassidoro, 2
Tor Chiesaccia / Ruderi di chiesa;Via Castel di Leva 
Tempio di Via delle Botteghe Oscure;Via Celsa, 3
Monumento a Quintino Sella;Via Cernaia
Monumento a Silvio Spaventa;Via Cernaia
Monumento a Quintino Sella;Via Cernaia Municipio I Rione Castro Pretorio
Monumento a Silvio Spaventa;Via Cernaia Municipio I Rione Castro Pretorio
Edificio scolastico Margherita di Savoia;Via Cerveteri, 55
Fontana Monumentale;Via Cesare Baronio
Cisterna di via Cesare Baronio;Via Cesare Baronio
Area archeologica di via Cilicia;Via Cilicia (Sottopassaggio)
Tempio di Claudio;Via Claudia
Resti antichi;Via Claudia
Fontana Clementina;Via Clementina
Monumento a Cola di Rienzo;Via Cola di Rienzo
Fontana con testa di leone;Via Collatina Vecchia ( Grotte di Gregna )
Fontanile di Benedetto XIV;Via Collatina Vecchia, 65 
Collatina vecchia;Via Collatina Vechhia
Fontana sarcofago via Corsini;Via Corsini
Busto a Giuseppe Pella, Largo Giuseppe Pella;Via Cristoforo Colombo
Monumento ‘Memoria dei 600.000 militari italiani deportati nei lager’;Via Cristoforo Colombo
Cisterna della via Colombo;Via Cristoforo Colombo, fronte n°142
Busti (6) nell’edificio scolastico Pilo Albertelli;Via Daniele Manin, 72  
Monumento Terenzio Mamiani della Rovere;Via degli Acciaioli
Ponte Mammolo;Via degli Alberini
Ninfeo degli Annibaldi;Via degli Annibaldi (angolo con via del Fagutale)
Palazzo Astalli;Via degli Astalli
Sepolcro via degli Olmi;Via degli Olmi
Fontana dei libri;Via degli Staderari
Complesso Angelo Mai;Via degli Zingari
Edificio della Zecca;Via dei Banchi Nuovi, 31
Teatro Argentina ed edificio ( sempre parte del Teatro Argentina);Via dei Barbieri
Teatro di Pompeo (portici);Via dei Barbieri (sotto il Teatro Argentina)
Farnesina dei Baullari;Via dei Baullari, 1
Resti antichi sotto Palazzo Calvi;Via dei Cappellari, 100
Fontanella in via Trionfale;Via dei Cavalieri di Vittorio Veneto
Palazzo Pantanella;Via dei Cerchi
Circo Massimo e Mitreo;Via dei Cerchi e via del Circo Massimo
Fontana in via dei fori Imperiali;Via dei Fori Imperiali
Monumento all’imperatore Nerva;Via dei Fori Imperiali
Monumento all’imperatore Augusto;Via dei Fori Imperiali
Monumento all’imperatore Traiano;Via dei Fori Imperiali
Quattro Carte geografiche;Via dei Fori Imperiali
Belvedere Cederna;Via dei Fori Imperiali ( Clivio di Acilio )
Porta;Via dei Gordiani ( Parco delle Sculture)
Freeze;Via dei Gordiani ( Parco delle Sculture)
Porta Magica;Via dei Gordiani ( Parco delle Sculture)
Romana;Via dei Gordiani ( Parco delle Sculture)
Luna;Via dei Gordiani ( Parco delle Sculture)
Fontanella via dei Greci;Via dei Greci
Torre di Case Calde;Via dei Ruderi di Casa Calda  
Fontanella in via dei Sabelli;Via dei Sabelli
Liceo Gaio Lucilio;Via dei Sabelli, 86
Fontanella in via dei Serviti;Via dei Serviti
Fontana del Babuino;Via del Babuino 
Cippo commemorativo del Prof. Ezio Tarantelli;Via del Castro Laurenziano
Porta dell'Acquedotto Vergine;Via del Corso, 239
Edificio in via del Falco;Via del Falco
Albergo della Catena;Via del Foro Piscario
Deposito presso la Casina dei Vallati;Via del Foro Piscario
Forte Bravetta;Via del Forte Bravetta
Casina dei Pierleoni;Via del Mare
Fontanella via del Moretto;Via del Moretto
Casina dei Vallati;Via del Portico
Portico d'Ottavia;Via del Portico d'Ottavia
Casa del Burcardo;Via del Sudario, 44
Insula;Via del teatro di Marcello
Teatro di Marcello;Via del Teatro di Marcello
Templi di Apollo Sosiano e Bellona;Via del Teatro di Marcello
Templi del Foro Olitorio;Via del Teatro di Marcello
Portico dei templi di Apollo Sosiano e Bellona;Via del Teatro di Marcello
Templi Repubblicani di San Nicola in Carcere;Via del Teatro di Marcello
Stanza di Beatrice cenci nel Teatro di Marcello;Via del Teatro di Marcello, 44
Deposito presso il Teatro di Marcello;Via del Teatro di Marcello, 44
Monumento ai Caduti della guerra 1915-1918 del Trullo e della Magliana;Via del Trullo
Cloaca Massima;Via del Velabro, 3a
Fontanile di Benedetto XIV;Via dell’Acquedotto Felice
Fontanile in via dell’Acquedotto Felice 55;Via dell’Acquedotto Felice, 55
P.P. Pasolini via dell’Idroscalo;Via dell’Idroscalo
Annia Regilla - Sepolcro;Via della Caffarella
Casale della Caffarella ( competenza Carta dell’Agro);Via della Caffarella
Torretta nella Valle della Caffarella;Via della Caffarella
Fontana della Botte;Via della Cisterna
Fontanelle (2) del drago di Paolo V;Via della Conciliazione
Fontanile presso il torrente Rigo;Via della Fontana Morta presso il torrente Rigo( Cesano)
Fontanile in via della Fontana Secca;Via della Fontana Secca di fronte al civ. 61 ( Cesano)
Fontanile in via della Fontana Secca 2;Via della Fontana Secca di fronte al civ.132( Cesano)
Casa dei Bimbi ( edificio scolastico );Via della Garbatella
Porta Settimiana;Via della Lungara
Ex convento Buon Pastore;Via della Lungara
Fontana dei Segni zodiacali;Via della Magliana
Fontanile in via della Magliana 611;Via della Magliana, 611
Fontana di Clemente XII o di Vermicino;Via della Mola Cavona ( Casal Morena )
Monumento ai Caduti della Montagnola;Via della Montagnola
